#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Вода
lava                                              (minecraft:lava)                                                                 = Лава
chocolate                                         ([no block])                                                                     = Chocolate
iron                                              (tconstruct:molten_iron)                                                         = Расплавленное железо
gold                                              (tconstruct:molten_gold)                                                         = Расплавленное золото
pigiron                                           (tconstruct:molten_pigiron)                                                      = Расплавленная свиносталь
cobalt                                            (tconstruct:molten_cobalt)                                                       = Расплавленный кобальт
ardite                                            (tconstruct:molten_ardite)                                                       = Расплавленный ардит
manyullyn                                         (tconstruct:molten_manyullyn)                                                    = Расплавленный маньюлин
knightslime                                       (tconstruct:molten_knightslime)                                                  = Расплавленная слизесталь
alubrass                                          (tconstruct:molten_alubrass)                                                     = Жидкая алюминиевая латунь
brass                                             (tconstruct:molten_brass)                                                        = Жидкая латунь
copper                                            (tconstruct:molten_copper)                                                       = Жидкая медь
tin                                               (tconstruct:molten_tin)                                                          = Жидкое олово
bronze                                            (tconstruct:molten_bronze)                                                       = Жидкая бронза
zinc                                              (tconstruct:molten_zinc)                                                         = Жидкий цинк
lead                                              (tconstruct:molten_lead)                                                         = Жидкий свинец
nickel                                            (tconstruct:molten_nickel)                                                       = Жидкий никель
silver                                            (tconstruct:molten_silver)                                                       = Жидкое серебро
electrum                                          (tconstruct:molten_electrum)                                                     = Жидкий электрум
steel                                             (tconstruct:molten_steel)                                                        = Расплавленная сталь
aluminum                                          (tconstruct:molten_aluminum)                                                     = Жидкий алюминий
liquidhydrogen                                    ([no block])                                                                     = Жидкий водород
liquidoxygen                                      ([no block])                                                                     = Жидкий кислород
liquidchlorine                                    ([no block])                                                                     = Жидкий хлор
liquidsulfurdioxide                               ([no block])                                                                     = Жидкий диоксид серы
liquidsulfurtrioxide                              ([no block])                                                                     = Жидкий триоксид серы
sulfuricacid                                      ([no block])                                                                     = Серная кислота
liquidhydrogenchloride                            ([no block])                                                                     = Жидкий хлороводород
liquidethene                                      ([no block])                                                                     = Жидкий этилен
liquidsodium                                      ([no block])                                                                     = Жидкий натрий
brine                                             ([no block])                                                                     = Рассол
liquiddeuterium                                   ([no block])                                                                     = Жидкий дейтерий
liquidtritium                                     ([no block])                                                                     = Жидкий тритий
liquidfusionfuel                                  ([no block])                                                                     = Жидкое Д-Т топливо
liquidlithium                                     ([no block])                                                                     = Жидкий литий
heavywater                                        ([no block])                                                                     = Тяжёлая вода
steam                                             ([no block])                                                                     = Пар
ic2uu_matter                                      (ic2:uu_matter)                                                                  = Жидкая материя
ic2construction_foam                              (ic2:construction_foam)                                                          = Жидкая строительная пена
ic2coolant                                        (ic2:coolant)                                                                    = Хладагент
ic2creosote                                       (ic2:creosote)                                                                   = Креозот
ic2hot_coolant                                    (ic2:hot_coolant)                                                                = Горячий хладагент
ic2pahoehoe_lava                                  (ic2:pahoehoe_lava)                                                              = Базальтовая лава
ic2biomass                                        (ic2:biomass)                                                                    = Жидкая биомасса
ic2biogas                                         (ic2:biogas)                                                                     = Биогаз
ic2distilled_water                                (ic2:distilled_water)                                                            = Дистиллированная вода
ic2superheated_steam                              (ic2:superheated_steam)                                                          = Перегретый пар
ic2steam                                          (ic2:steam)                                                                      = Пар
ic2hot_water                                      (ic2:hot_water)                                                                  = Тёплая вода
ic2weed_ex                                        (ic2:weed_ex)                                                                    = Пестицид
ic2air                                            (ic2:air)                                                                        = Воздух
ic2hydrogen                                       (ic2:hydrogen)                                                                   = Водород
ic2oxygen                                         (ic2:oxygen)                                                                     = Кислород
ic2heavy_water                                    (ic2:heavy_water)                                                                = Тяжёлая вода
ic2milk                                           (ic2:milk)                                                                       = Milk
sand                                              (biomesoplenty:sand)                                                             = Зыбучего Песка
honey                                             (biomesoplenty:honey)                                                            = Мёда
blood                                             (biomesoplenty:blood)                                                            = Крови
poison                                            (biomesoplenty:poison)                                                           = Яда
hot_spring_water                                  (biomesoplenty:hot_spring_water)                                                 = Воды Горячего Источника
oil                                               (buildcraftenergy:fluid_block_oil_heat_0)                                        = Сырая нефть (§bпрохладное§r)
oil_heat_1                                        (buildcraftenergy:fluid_block_oil_heat_1)                                        = Сырая нефть (§6горячее§r)
oil_heat_2                                        (buildcraftenergy:fluid_block_oil_heat_2)                                        = Сырая нефть (§cжгучее§r)
oil_residue                                       (buildcraftenergy:fluid_block_oil_residue_heat_0)                                = Остаток (§bпрохладное§r)
oil_residue_heat_1                                (buildcraftenergy:fluid_block_oil_residue_heat_1)                                = Остаток (§6горячее§r)
oil_residue_heat_2                                (buildcraftenergy:fluid_block_oil_residue_heat_2)                                = Остаток (§cжгучее§r)
oil_heavy                                         (buildcraftenergy:fluid_block_oil_heavy_heat_0)                                  = Необработанная нефть (§bпрохладное§r)
oil_heavy_heat_1                                  (buildcraftenergy:fluid_block_oil_heavy_heat_1)                                  = Необработанная нефть (§6горячее§r)
oil_heavy_heat_2                                  (buildcraftenergy:fluid_block_oil_heavy_heat_2)                                  = Необработанная нефть (§cжгучее§r)
oil_dense                                         (buildcraftenergy:fluid_block_oil_dense_heat_0)                                  = Плотная нефть (§bпрохладное§r)
oil_dense_heat_1                                  (buildcraftenergy:fluid_block_oil_dense_heat_1)                                  = Плотная нефть (§6горячее§r)
oil_dense_heat_2                                  (buildcraftenergy:fluid_block_oil_dense_heat_2)                                  = Плотная нефть (§cжгучее§r)
oil_distilled                                     (buildcraftenergy:fluid_block_oil_distilled_heat_0)                              = Дистиллированная нефть (§bпрохладное§r)
oil_distilled_heat_1                              (buildcraftenergy:fluid_block_oil_distilled_heat_1)                              = Дистиллированная нефть (§6горячее§r)
oil_distilled_heat_2                              (buildcraftenergy:fluid_block_oil_distilled_heat_2)                              = Дистиллированная нефть (§cжгучее§r)
fuel_dense                                        (buildcraftenergy:fluid_block_fuel_dense_heat_0)                                 = Плотное топливо (§bпрохладное§r)
fuel_dense_heat_1                                 (buildcraftenergy:fluid_block_fuel_dense_heat_1)                                 = Плотное топливо (§6горячее§r)
fuel_dense_heat_2                                 (buildcraftenergy:fluid_block_fuel_dense_heat_2)                                 = Плотное топливо (§cжгучее§r)
fuel_mixed_heavy                                  (buildcraftenergy:fluid_block_fuel_mixed_heavy_heat_0)                           = Смешанное тяжелое топливо (§bпрохладное§r)
fuel_mixed_heavy_heat_1                           (buildcraftenergy:fluid_block_fuel_mixed_heavy_heat_1)                           = Смешанное тяжелое топливо (§6горячее§r)
fuel_mixed_heavy_heat_2                           (buildcraftenergy:fluid_block_fuel_mixed_heavy_heat_2)                           = Смешанное тяжелое топливо (§cжгучее§r)
fuel_light                                        (buildcraftenergy:fluid_block_fuel_light_heat_0)                                 = Топливо (§bпрохладное§r)
fuel_light_heat_1                                 (buildcraftenergy:fluid_block_fuel_light_heat_1)                                 = Топливо (§6горячее§r)
fuel_light_heat_2                                 (buildcraftenergy:fluid_block_fuel_light_heat_2)                                 = Топливо (§cжгучее§r)
fuel_mixed_light                                  (buildcraftenergy:fluid_block_fuel_mixed_light_heat_0)                           = Смешанное легкое топливо (§bпрохладное§r)
